Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
------------------
210352,279323

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
56534734,49759605,50336411
-17543908,50336434,50359645
12659644,50359666,50494439
8632781,50494448,50584880
-34030536,50584920,50623516
13115447,50623536,50762022
-23598264,50762064,50791024
28990656,50791046,51089855
-9840140,51089878,51105763
-10246480,51105786,51121827
-3597370,51121851,51129790
18113212,51129813,51314458
-35046757,51314481,51353914
-8187568,51353938,51367991
17267009,51367997,51528767
28728046,51528776,51816665
-39344046,51816686,51860124
50252061,51860144,52370600
-28075962,52370617,52403464
-4421438,52403504,52412622
-17742486,52412663,52435954
-3235336,52435975,52443301
43345001,52443319,52879821
-12086003,52879861,52897480
-16666397,52897489,52913316
22446470,52913339,53143144
-33654572,53143167,53181574
35545482,53181597,53527505
12739135,53527529,53669692
1630822,53669714,53692766
-54831127,53692806,53756838
40948317,53756846,54154096
-14449266,54154118,54174048
-13138255,54174087,54192833
32763594,54192856,54517418
-32473075,54517456,54554346
22051488,54554355,54765055
-15035274,54765078,54785804
36220548,54785826,55158937
5124523,55158960,55217073
-51341783,55217081,55265611
2964002,55265634,55299594
33035182,55299617,55626853
-39900063,55626872,55670630
52862095,55670648,56206399
-58084273,56206422,56268340
6298819,56268358,56333021
35991434,56333039,56698724
-3319195,56698741,56705979
-14681841,56706001,56726422
-12851032,56726444,56745228
2630579,56745251,56776216
30945951,56776236,57085255
-32321377,57085275,57122519
47264503,57122541,57614821
-58970698,57614862,57676885
25678200,57676893,57923554
-28313863,57923576,57957968
30113298,57957976,58248591
1027742,58248631,58265390
28167485,58265431,58564656
-25050538,58564679,58596652
-37305375,58596675,58638151
24171928,58638157,58870473
31939092,58870513,59205499
-52169990,59205519,59267816
1206375,59267832,59285288
6045498,59285312,59347785
28785146,59347794,59628573
10520124,59628582,59734789
-31226645,59734812,59770765
-51752,59770805,59771234
42834420,59772143,60207828
-52585406,60207844,60263784
14843948,60263805,60421097
-13337897,60421121,60440175
46325499,60440192,60897014
-36841305,60897037,60941162
19376849,60941182,61141441
21309807,61141463,61363043
-21473951,61363053,61383471
13965937,61383489,61530494
-8636787,61530517,61545065
-22122046,61545087,61572320
16620711,61572338,61739465
11969628,61739486,61874130
-22602177,61874152,61902246
3470673,61902269,61940661
-10603301,61940683,61957267
31462794,61957289,62285669
-20998148,62285693,62311910
-23871204,62311933,62342307
5393161,62342328,62398704
51036531,62398725,62923989
-7705602,62924031,62937767
-10672581,62937790,62954245
13872715,62954269,63107834
-21650831,63107857,63134753
13719473,63134794,63280408
-51659340,63280449,63335481
39511791,63335488,63731546
6601700,63731569,63804593
9267812,63804616,63904730
-56689973,63904755,63964432
11432450,63964440,64070695
5065790,64070718,64128659
2932401,64128682,64162392
16501321,64162413,64325393
27966031,64325411,64614385
-30743988,64614408,64649715
-12485119,64649738,64668075
-28266,64668098,64668465
6625125,64668482,64735461
27756998,64735469,65018751
3929767,65018774,65066179
-21552787,65066202,65092793
10821967,65092811,65208258
-41987327,65208282,65254324
13807174,65254366,65389245
20785709,65389268,65595725
-39354545,65595746,65639272
7056388,65639279,65711421
8451249,65711438,65795715
-2093580,65795758,65800984
35392620,65801008,66150546
-8067960,66150567,66164581
442943,66164599,66173937
-33738234,66173961,66212288
29845987,66212311,66513808
-11608799,66513826,66531006
8103852,66531027,66617911
1233105,66617923,66636002
21543357,66636020,66877542
-54989720,66877563,66936007
41413476,66936016,67336661
-14872449,67336681,67357209
-26378407,67357227,67388200
25959756,67388208,67658211
9646478,67658228,67758203
-1101516,67758234,67761336
-28203235,67761358,67794099
34661506,67794108,68142994
-19244543,68143016,68167809
11343785,68167831,68288643
8964864,68288667,68392562
-9855150,68392583,68411127
26234836,68411149,68729210
-37804961,68729234,68771001
39157143,68771019,69178299
-16039431,69178322,69199918
-44892186,69199926,69245921
-1987192,69245934,69249351
22726021,69249355,69464932
39783540,69464955,69891380
-16002961,69891425,69913020
-17294927,69913043,69935742
-17392004,69935760,69958240
14610966,69958257,70100948
24177496,70100970,70359714
-16640974,70359731,70381271
-19706864,70381288,70406084
44456475,70406101,70846428
-48434090,70846446,70897532
51859476,70897554,71409504
-10224513,71409524,71425558
6593975,71425567,71492291
-53666295,71492313,71549616
-103306,71549637,71550226
35466000,71550244,71894585
-16331003,71894594,71910362
1339587,71910385,71929518
39456389,71929541,72337159
-3547924,72337199,72344989
-56231894,72345000,72399944
52539578,72399967,72920610
-8999463,72920631,72935413
-38127334,72935431,72977913
42723625,72977935,73406757
-33156361,73406780,73444751
23096745,73444769,73686647
-30346694,73686664,73721566
26175883,73721590,73976166
7741178,73976207,74067313
18213877,74067336,74264547
-61931003,74264566,74341328
51424827,74341337,74841045
-27727915,74841068,74873720
-18577090,74873740,74898016
34684605,74898024,75228447
-5635436,75228487,75239484
-27607234,75239490,75277071
50131726,75277080,75786376
-14570163,75786400,75806516
444104,75806538,75816320
8067126,75816359,75904761
-24498322,75904777,75934190
-675488,75934214,75936357
-5047363,75936370,75945368
6300626,75945390,76010557
-27861223,76010579,76043157
9405929,76043163,76141919
-4925961,76141943,76152023
58666432,76152035,76732413
-41193705,76732425,76778358
4040975,76778396,76822319
-15079109,76822337,76842402
-9222184,76842433,76857224
41398420,76857230,77260623
-31594380,77260664,77296683
21600110,77296725,77505336
158594,77505353,77509700
